[31-Oct-2015 20:11:00 Europe/Berlin] PHP Warning:  include_once(): Failed opening './gui/layoutRodape.php' for inclusion (include_path='.;C:\xampp\php\PEAR') in C:\xampp\htdocs\mvc\gui\TGui.php on line 24
[31-Oct-2015 20:29:53 Europe/Berlin] PHP Notice:  Use of undefined constant Usuario - assumed 'Usuario' in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 64
[31-Oct-2015 20:29:53 Europe/Berlin] PHP Warning:  get_class() expects parameter 1 to be object, string given in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 64
[31-Oct-2015 20:29:53 Europe/Berlin] PHP Fatal error:  Class '' not found in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 64
[31-Oct-2015 20:30:01 Europe/Berlin] PHP Fatal error:  Undefined constant 'Usuario' in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 64
[01-Nov-2015 12:20:26 Europe/Berlin] PHP Notice:  Use of undefined constant URL - assumed 'URL' in C:\xampp\htdocs\mvc\gui\listaDeUsuarios.php on line 2
[01-Nov-2015 12:35:13 Europe/Berlin] PHP Notice:  Array to string conversion in C:\xampp\htdocs\mvc\to\ControleUsuario.php on line 22
[01-Nov-2015 12:35:26 Europe/Berlin] PHP Notice:  Array to string conversion in C:\xampp\htdocs\mvc\to\ControleUsuario.php on line 37
[01-Nov-2015 12:35:29 Europe/Berlin] PHP Notice:  Array to string conversion in C:\xampp\htdocs\mvc\to\ControleUsuario.php on line 22
[01-Nov-2015 12:35:45 Europe/Berlin] PHP Notice:  Array to string conversion in C:\xampp\htdocs\mvc\to\ControleUsuario.php on line 22
[01-Nov-2015 12:35:51 Europe/Berlin] PHP Notice:  Array to string conversion in C:\xampp\htdocs\mvc\to\ControleUsuario.php on line 37
[01-Nov-2015 12:37:46 Europe/Berlin] PHP Notice:  Array to string conversion in C:\xampp\htdocs\mvc\to\ControleUsuario.php on line 39
[01-Nov-2015 12:43:35 Europe/Berlin] PHP Notice:  Use of undefined constant Usuario - assumed 'Usuario' in C:\xampp\htdocs\mvc\dao\DaoUsuario.php on line 46
